target,model,group,rmse,mae,r2,adjusted_r2,mape,smape,explained_variance,median_abs_error,max_error,mean_bias_error,stability_mean_rmse,stability_std_rmse,stability_mean_r2,stability_std_r2,beats_naive,rank_rmse,rank_r2,rank_mae,rank_stability,avg_rank,leaderboard_position
target_Borrowings,decision_tree,tree,83906.38823699843,33960.32123076923,0.9577370447800407,0.9544940310277419,14.946112642305811,14.9123140086242,0.9577508991189194,8551.489999999998,1310736.4800000002,-1519.1756809116812,83437.76346032809,8855.597987501948,0.9577949887428902,0.008833329730036326,False,11.0,11.0,10.0,10.0,10.5,11
target_Borrowings,linear_regression,linear,59044220.50849036,50825511.56893735,-20926.84905236983,-22532.730655528965,92388.11171847586,200.0,-5419.651328240046,38584463.33618598,92409415.43930964,-50825511.56893735,50827882.330994286,30045737.6877625,-20832.201510780185,21142.20377845328,False,12.0,12.0,12.0,11.0,11.75,12
target_CFO,elastic_net,linear,3636.007362510194,2268.1469285598123,0.972075633777404,0.969932880077082,10.012479381609722,9.786584744756716,0.9721328181761995,1204.7092098801877,20897.090046530677,164.54014329507805,3629.5872396631385,215.97687353709424,0.9720285480907801,0.003537172262381229,False,1.0,1.0,2.0,2.0,1.5,1
target_CFO,ridge,linear,3682.4171326027213,2296.8597933565566,0.9713582346721494,0.9691604319306016,10.17693623704513,9.892617831300669,0.97146047914083,1217.95406078429,21524.52143740082,220.01536061913598,3675.4933784447862,225.7085809059479,0.9713224325504153,0.0036300774869589742,False,2.0,2.0,4.0,3.0,2.75,2
target_CFO,extra_trees,tree,3746.0157696960896,2238.108183105413,0.970360353494314,0.9680859791461184,9.11411496981915,8.898146687708191,0.9704282314472165,1076.7045499999986,24600.81719999999,179.26580658119747,3735.66854339155,278.23493800499506,0.970289671475728,0.004672575298921353,False,3.0,3.0,1.0,5.0,3.0,3
target_CFO,random_forest,tree,3766.2572931543086,2270.960474928775,0.9700391735792084,0.9677401537494976,9.239420619334629,9.03780085817649,0.9701029522648523,1106.700700000004,23682.786349999966,173.7684286609692,3757.698962682289,253.75678137631596,0.9699552254225536,0.004532603042399978,False,4.0,4.0,3.0,4.0,3.75,4
target_CFO,hist_gradient_boosting,tree,3978.114228710255,2336.395010160255,0.9665736992789624,0.9640087590763046,9.316862937678476,9.130891834973667,0.9666103316764394,1093.9833890740056,25708.838651601625,131.69393145222816,3951.136846108691,462.5045296959339,0.9664528767618424,0.007894014053693837,False,5.0,5.0,5.0,9.0,6.0,5
target_CFO,lightgbm,boosting,4064.436346490003,2407.7824167931235,0.9651073085563033,0.9624298460452769,9.653124522662658,9.461180157310384,0.9651621216565226,1089.4218289999426,26790.520300264456,161.09248264609252,4042.3375977418796,423.2606295787679,0.9649770660541659,0.0076241488637897505,False,6.0,6.0,6.0,8.0,6.5,6
target_CFO,xgboost,boosting,4134.979105098956,2440.490832420762,0.96388559568859,0.9611143860268796,10.058646019721774,9.856773518017313,0.9638906924532481,1139.8235156249993,25759.350625000006,49.12249099670585,4113.266936216133,423.1870875110728,0.9637321890948627,0.008037943418517305,False,7.0,7.0,7.0,7.0,7.0,7
target_CFO,decision_tree,tree,5581.620578304825,3336.6620740740736,0.9341956748798189,0.9291462331118492,13.39662947497969,13.064206773204868,0.9344367004068591,1582.2200000000012,37427.15,337.8038632478633,5580.495211999142,112.07795952170285,0.9341079860072234,0.00404012952735332,False,10.0,10.0,10.0,1.0,7.75,8
target_CFO,lasso,linear,4367.244041818946,3173.812683302858,0.9597145017686194,0.9566232265820493,19.842742495782876,23.526406918861493,0.9608694127564078,2461.5767590930373,22496.488308184766,-739.4475052132026,4354.256090682086,336.56265027634913,0.9597609571282074,0.005913600818085632,False,9.0,9.0,9.0,6.0,8.25,9
target_CFO,catboost,boosting,4243.619543650683,2610.733800324889,0.961962961261584,0.9590442197991518,12.410437527218598,11.79898031125802,0.9619678266373273,1456.72695264518,27594.20814236696,-47.994479290853775,4217.9075222169395,466.4364536352117,0.9619452361041406,0.008247961441896979,False,8.0,8.0,8.0,10.0,8.5,10
target_CFO,multioutput_random_forest,benchmark,7414.250859831365,4234.8178608831895,0.8838903356519054,0.8753633101183856,17.610567870758835,15.98086833012721,0.8839574853967198,1778.7553000000335,41804.98880000001,-178.30161410256483,7414.250859831365,,0.8838903356519054,,False,11.0,11.0,11.0,11.0,11.0,11
target_CFO,linear_regression,linear,6268547.4543353,6036848.589493427,-82997.0049074621,-89365.789814419,53320.599578008434,199.60762469638362,-81759.9203000442,6387273.815080419,8014792.603367482,-765301.902570064,6036873.063313062,1688446.2694142028,-83743.8125007651,43154.26985765566,False,12.0,12.0,12.0,11.0,11.75,12
target_Net_Profit,extra_trees,tree,1928.884846621545,1179.656271054131,0.9488683527293891,0.9449448070517793,9.175370223316827,8.888275254827454,0.9491572137512533,630.8701500000061,14106.996049999994,144.97926068376,1927.208084704792,80.40988605082848,0.9488219284318581,0.004746295638108289,False,4.0,4.0,1.0,1.0,2.5,1
target_Net_Profit,random_forest,tree,1926.5267320907303,1188.6918469515672,0.9489932959865721,0.9450793377289426,9.270064092987802,9.011003433991272,0.9493314508371837,628.3859999999968,14209.159349999994,156.86253162393123,1924.1432520352098,95.80185336179872,0.9489396114471829,0.005525510519836443,False,3.0,3.0,2.0,3.0,2.75,2
target_Net_Profit,elastic_net,linear,1866.1445662136841,1189.115038085075,0.9521405447654524,0.9484680881022735,10.011265814655152,9.727721421771065,0.9525255594930392,690.4093334572881,11803.966035114947,167.37865756952613,1862.34993205033,118.94651151249354,0.952091703002376,0.006565212606535911,False,1.0,1.0,3.0,8.0,3.25,3
target_Net_Profit,ridge,linear,1896.2594874447066,1206.1921312280015,0.9505834166479005,0.9467914750156031,10.194268956257119,9.888953421768125,0.9508322925005352,691.6684979410984,11936.276611183559,134.57140588921425,1893.2826083244154,106.21209319262736,0.9505449143277028,0.005890879656862037,False,2.0,2.0,4.0,7.0,3.75,4
target_Net_Profit,hist_gradient_boosting,tree,2028.3256876135797,1231.7426857664268,0.943460421915607,0.9391219030325197,9.569040808798972,9.32705731383264,0.9435730783851263,667.2476882026822,14997.070814673207,90.5397889099836,2025.7812101442323,101.56566181377832,0.9434005354860341,0.006165523587629126,False,5.0,5.0,5.0,5.0,5.0,5
target_Net_Profit,lightgbm,boosting,2043.0783940631884,1261.752256528457,0.9426349675089789,0.9382331080483419,9.939920183309468,9.718241755097758,0.9427944883800309,679.9695842148358,14020.085951924357,107.73831160645913,2040.7847430156917,96.7830406744545,0.942579909678832,0.0060314290860659855,False,6.0,6.0,6.0,4.0,5.5,6
target_Net_Profit,xgboost,boosting,2103.8613829599167,1306.6863461761038,0.9391708950942133,0.9345032228331799,10.290492365217057,10.046782247586156,0.9392161818866218,739.5887402343751,12237.30546875,57.40466539240567,2102.122407029566,85.52253839917493,0.9391168699095328,0.005525921763465273,False,8.0,8.0,7.0,2.0,6.25,7
target_Net_Profit,catboost,boosting,2082.427280801247,1326.684315559003,0.9404040330051673,0.9358309845862882,11.70596198165271,11.127114630071201,0.9404180199058543,810.317356050381,16640.4562388207,31.902311755741188,2079.947326859911,101.59969150340254,0.94037000018946,0.006056489953215209,False,7.0,7.0,8.0,6.0,7.0,8
target_Net_Profit,lasso,linear,2404.650614794858,1772.6106152263521,0.9205340371000422,0.9144362805853125,19.09141587272081,20.32206698661337,0.9206354991105722,1449.9331841416133,13452.672043590683,-85.92373382115878,2370.067155237459,406.3573044721942,0.9205353355227976,0.024846841752762826,False,9.0,9.0,10.0,10.0,9.5,9
target_Net_Profit,decision_tree,tree,2688.2874165509343,1704.8818803418806,0.900681859429036,0.8930607620862672,13.191514145735706,12.863779392310605,0.901381972227502,931.0,15605.32,225.70720227920236,2685.5295499187364,121.73853333831221,0.9006524728355682,0.00910431086401733,False,10.0,10.0,9.0,9.0,9.5,10
target_Net_Profit,multioutput_random_forest,benchmark,3427.6238069956034,2156.4564812250724,0.8385405447105271,0.8266830571739685,18.883572124205504,17.019287078501772,0.8385872827361491,1196.3682000000008,23340.074350000003,-58.3171901139603,3427.6238069956034,,0.8385405447105271,,False,11.0,11.0,11.0,11.0,11.0,11
target_Net_Profit,linear_regression,linear,6722752.319668361,5821375.553767164,-621113.1226938365,-668773.8135082807,80063.45598343112,200.0,-155389.338828148,7608802.257398138,8753632.177700974,-5821375.553767164,5821381.576199636,3362575.6937041236,-618239.4894082361,438458.4551417432,False,12.0,12.0,12.0,11.0,11.75,12
target_Operating_Profit,ridge,linear,1730.9798831630594,1132.1945058744127,0.9748061627228793,0.9728729339569862,7.14346790109884,7.052376948874002,0.9749549199612069,695.1770465920326,11189.78917572277,133.00988385799062,1729.5271030643269,70.90384814039625,0.9747715221060491,0.0024540765903483114,False,2.0,2.0,1.0,3.0,2.0,1
target_Operating_Profit,elastic_net,linear,1723.1721814028,1138.9717637013573,0.9750329271605068,0.9731170989806808,7.354212265786293,7.2628337996025705,0.9751841012962738,728.2919750615965,11234.602660435976,134.08605331232377,1721.337366064615,79.4986726317966,0.9749956566918261,0.002689666924200039,False,1.0,1.0,2.0,5.0,2.25,2
target_Operating_Profit,extra_trees,tree,1816.739459369752,1150.2384481766385,0.9722479175658452,0.9701183839229542,6.661948447225428,6.544003495515449,0.9723607685940274,635.9312999999711,11836.775849999995,115.85042219373366,1815.267171470424,73.12564128173494,0.9722103988781314,0.0026561981605009487,False,3.0,3.0,3.0,4.0,3.25,3
