Company,Ticker,Sector,Year,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit Before Tax,Tax,Net Profit,EPS,Equity,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,CFO,CFI,CFF,Net Cash Flow,Free Cash Flow,Debtor Days,Inventory Days,Days Payable,Cash Conversion Cycle,Working Capital Days,CPI_Combined_Index,CPI_Inflation_Rate,WPI,Repo_Rate,Reverse_Repo_Rate,oil_price,exchange_rate
Astral,ASTRAL,Consumer Durables,Mar 2019,2507,2126,382,15%,15,32,81,283.0,30%,197,7.36,12.0,1266.0,275.0,546.0,2099.0,1105.0,81.0,0.0,913.0,2099.0,342.0,-291.0,-5.0,46.0,122.0,49.0,88.0,86.0,51.0,27.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Oil India,OIL,Oil & Gas,Mar 2019,13780,8190,5591,41%,1251,624,1541,4677.0,31%,3238,19.91,1084.0,27890.0,15114.0,8430.0,52518.0,12471.0,1267.0,26451.0,12329.0,52518.0,5023.0,-578.0,-940.0,3504.0,2523.0,35.0,,,35.0,-77.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Dabur,DABUR,FMCG,Mar 2019,8515,6775,1740,20%,222,60,177,1725.0,16%,1446,8.17,177.0,5455.0,699.0,2106.0,8437.0,1969.0,64.0,3359.0,3045.0,8437.0,1499.0,338.0,-1888.0,-51.0,1274.0,36.0,154.0,172.0,17.0,-5.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Dhampur Sugar Mills,DHAMPURSUG,Agriculture,Mar 2019,2892,2433,460,16%,18,90,70,317.0,21%,251,37.81,66.0,1158.0,1824.0,877.0,3927.0,1597.0,34.0,12.0,2284.0,3927.0,-203.0,-90.0,268.0,-26.0,-283.0,49.0,302.0,120.0,231.0,19.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Sonata Software,SONATSOFTW,Information Technology,Mar 2019,2961,2625,336,11%,30,3,13,349.0,29%,249,8.89,10.0,758.0,16.0,744.0,1528.0,199.0,1.0,146.0,1182.0,1528.0,-6.0,12.0,-166.0,-160.0,-14.0,100.0,0.0,,100.0,24.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Aurobindo Pharma,AUROPHARMA,Pharmaceuticals,Mar 2019,19564,15612,3952,20%,70,263,668,3091.0,24%,2364,40.36,59.0,13832.0,6967.0,5414.0,26271.0,8475.0,1668.0,360.0,15768.0,26271.0,1651.0,-2904.0,1919.0,666.0,114.0,64.0,304.0,107.0,260.0,25.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
APL Apollo Tubes,APLAPOLLO,Metals & Mining,Mar 2019,7152,6759,393,5%,12,113,64,227.0,35%,148,6.22,24.0,940.0,858.0,952.0,2774.0,1034.0,27.0,49.0,1663.0,2774.0,358.0,-264.0,-53.0,41.0,132.0,28.0,45.0,40.0,33.0,-1.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Divi’s Laboratories,DIVISLAB,Pharmaceuticals,Mar 2019,4946,3072,1874,38%,154,5,169,1855.0,27%,1353,50.96,53.0,6904.0,106.0,973.0,8036.0,2088.0,492.0,1946.0,3511.0,8036.0,954.0,-685.0,-246.0,23.0,221.0,86.0,347.0,96.0,336.0,169.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
United Breweries,UBL,FMCG,Mar 2019,6475,5337,1138,18%,32,31,260,879.0,36%,563,21.29,26.0,3157.0,211.0,1989.0,5384.0,1777.0,190.0,0.0,3417.0,5384.0,643.0,-430.0,-196.0,17.0,206.0,85.0,326.0,186.0,225.0,48.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
LT Foods,LTFOODS,Agriculture,Mar 2019,3890,3490,400,10%,21,139,69,214.0,36%,137,3.96,32.0,1297.0,1690.0,554.0,3573.0,601.0,42.0,36.0,2894.0,3573.0,103.0,-137.0,44.0,10.0,-11.0,50.0,247.0,37.0,260.0,73.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Ratnamani Metals,RATNAMANI,Metals & Mining,Mar 2019,2755,2348,407,15%,41,15,62,371.0,32%,253,36.08,9.0,1513.0,65.0,465.0,2053.0,440.0,179.0,203.0,1231.0,2053.0,554.0,-360.0,-56.0,137.0,389.0,61.0,113.0,56.0,118.0,78.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Birlasoft,BSOFT,Information Technology,Mar 2019,2551,2244,306,12%,100,11,50,346.0,16%,292,10.56,55.0,1659.0,38.0,746.0,2498.0,588.0,0.0,191.0,1719.0,2498.0,-72.0,123.0,-116.0,-64.0,-161.0,102.0,,,102.0,56.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Whirlpool of India,WHIRLPOOL,Consumer Durables,Mar 2019,5398,4755,642,12%,107,9,111,629.0,35%,410,32.3,127.0,2019.0,0.0,1566.0,3712.0,508.0,43.0,659.0,2501.0,3712.0,402.0,-262.0,-62.0,79.0,216.0,17.0,96.0,134.0,-20.0,-7.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Persistent Systems,PERSISTENT,Information Technology,Mar 2019,3366,2810,556,17%,88,0,157,486.0,28%,352,21.98,79.0,2266.0,2.0,509.0,2856.0,401.0,32.0,764.0,1659.0,2856.0,432.0,-233.0,-160.0,39.0,395.0,53.0,,,53.0,43.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Blue Star,BLUESTARCO,Consumer Durables,Mar 2019,5235,4887,348,7%,26,48,75,251.0,17%,190,9.87,19.0,854.0,348.0,2130.0,3351.0,400.0,41.0,15.0,2895.0,3351.0,258.0,-65.0,-181.0,13.0,180.0,78.0,119.0,211.0,-14.0,8.0,143.93333333333334,4.616666666666666,120.90833333333336,5.729166666666667,5.479166666666667,64.17403287034075,70.5165195812417
Tata Steel,TATASTEEL,Metals & Mining,Mar 2020,139817,122354,17463,12%,-2884,7533,8441,-1395.0,-184%,1174,1.38,1145.0,72431.0,116328.0,59245.0,249149.0,134551.0,19497.0,6285.0,88816.0,249149.0,20169.0,-14012.0,-1695.0,4462.0,10156.0,21.0,197.0,136.0,82.0,-38.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Lupin,LUPIN,Pharmaceuticals,Mar 2020,15375,13020,2355,15%,-134,363,970,887.0,130%,-270,-5.95,91.0,12446.0,6305.0,5968.0,24810.0,7938.0,940.0,2374.0,13557.0,24810.0,1469.0,1107.0,-891.0,1685.0,798.0,129.0,232.0,162.0,199.0,33.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Allcargo Logistics,ALLCARGO,Ports & Infrastructure,Mar 2020,1619,1443,176,11%,268,63,115,266.0,17%,220,2.24,49.0,1423.0,1020.0,383.0,2875.0,706.0,5.0,1106.0,1059.0,2875.0,207.0,-512.0,331.0,26.0,120.0,71.0,,,71.0,-32.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Chennai Petroleum,CHENNPETRO,Oil & Gas,Mar 2020,36973,39130,-2157,-6%,45,415,468,-2995.0,-31%,-2056,-138.1,149.0,1210.0,8698.0,2818.0,12875.0,7034.0,1598.0,179.0,4064.0,12875.0,-620.0,-963.0,1583.0,0.0,-1607.0,1.0,23.0,15.0,9.0,-54.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Petronet LNG,PETRONET,Oil & Gas,Mar 2020,35452,31462,3990,11%,306,403,776,3116.0,13%,2703,18.02,1500.0,9621.0,3690.0,4056.0,18867.0,11188.0,5.0,517.0,7157.0,18867.0,2863.0,941.0,-3055.0,749.0,2822.0,16.0,6.0,14.0,8.0,3.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Dhanuka Agritech,DHANUKA,Agriculture,Mar 2020,1120,947,174,15%,25,2,16,181.0,22%,141,29.71,10.0,698.0,8.0,217.0,932.0,117.0,4.0,159.0,652.0,932.0,162.0,-44.0,-93.0,25.0,152.0,79.0,141.0,64.0,156.0,125.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Godrej Consumer Products,GODREJCP,FMCG,Mar 2020,9911,7757,2154,22%,32,228,197,1760.0,15%,1497,14.64,102.0,7796.0,3575.0,3407.0,14880.0,9231.0,57.0,672.0,4920.0,14880.0,1588.0,-552.0,-1295.0,-259.0,1436.0,43.0,146.0,212.0,-24.0,-42.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
KEC International,KEC,Ports & Infrastructure,Mar 2020,11965,10635,1330,11%,11,403,147,790.0,28%,566,22.0,51.0,2746.0,2519.0,7538.0,12855.0,1352.0,84.0,22.0,11396.0,12855.0,87.0,-113.0,3.0,-23.0,-115.0,166.0,51.0,327.0,-111.0,34.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Britannia,BRITANNIA,FMCG,Mar 2020,11600,9756,1843,16%,263,77,185,1844.0,24%,1394,58.33,24.0,4379.0,1538.0,1889.0,7830.0,1878.0,40.0,2893.0,3019.0,7830.0,1485.0,-1526.0,58.0,17.0,1241.0,10.0,39.0,55.0,-6.0,-1.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
KRBL,KRBL,Agriculture,Mar 2020,4499,3629,870,19%,23,62,73,758.0,26%,558,23.71,24.0,3104.0,572.0,724.0,4423.0,979.0,12.0,6.0,3425.0,4423.0,1212.0,-54.0,-1148.0,10.0,1182.0,19.0,323.0,43.0,298.0,167.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Laurus Labs,LAURUSLABS,Pharmaceuticals,Mar 2020,2832,2266,565,20%,5,90,187,294.0,13%,255,4.77,107.0,1663.0,1079.0,901.0,3750.0,1726.0,67.0,3.0,1953.0,3750.0,347.0,-221.0,-128.0,-1.0,125.0,102.0,234.0,159.0,177.0,15.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Gujarat Mineral Development Corp,GMDCLTD,Metals & Mining,Mar 2020,1449,1323,126,9%,173,2,92,205.0,28%,146,4.61,64.0,4032.0,0.0,967.0,5063.0,2058.0,4.0,264.0,2737.0,5063.0,1.0,84.0,-77.0,8.0,-9.0,35.0,,,35.0,271.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Gujarat Narmada Valley Fertilizers & Chemicals (GNFC),GNFC,Agriculture,Mar 2020,5162,4621,542,10%,153,5,264,425.0,-17%,508,32.69,155.0,5144.0,860.0,2261.0,8421.0,3810.0,82.0,673.0,3856.0,8421.0,286.0,-901.0,546.0,-69.0,155.0,100.0,125.0,68.0,156.0,117.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Coal India,COALINDIA,Metals & Mining,Mar 2020,96080,74500,21581,22%,6444,503,3451,24071.0,31%,16700,27.12,6163.0,25994.0,6434.0,111430.0,150020.0,36784.0,8328.0,1973.0,102936.0,150020.0,4977.0,1033.0,-4791.0,1219.0,-612.0,55.0,,,55.0,23.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
JSW Steel,JSWSTEEL,Metals & Mining,Mar 2020,73326,61513,11813,16%,-289,4265,4246,3013.0,-30%,3919,16.67,301.0,36298.0,61423.0,33798.0,131820.0,62085.0,27191.0,1259.0,41285.0,131820.0,12785.0,-19589.0,5189.0,-1615.0,18.0,22.0,130.0,169.0,-17.0,-96.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Havells India,HAVELLS,Consumer Durables,Mar 2020,9440,8373,1067,11%,106,51,218,904.0,19%,735,11.75,63.0,4249.0,72.0,2690.0,7073.0,3350.0,86.0,0.0,3638.0,7073.0,827.0,-548.0,-716.0,-437.0,467.0,9.0,121.0,92.0,39.0,1.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Crompton Greaves Consumer Electricals,CROMPTON,Consumer Durables,Mar 2020,4520,3921,599,13%,59,41,27,591.0,16%,496,7.91,125.0,1343.0,350.0,934.0,2752.0,909.0,20.0,541.0,1282.0,2752.0,411.0,9.0,-513.0,-93.0,363.0,37.0,55.0,77.0,16.0,6.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Balrampur Chini Mills,BALRAMCHIN,Agriculture,Mar 2020,4741,4059,682,14%,52,64,101,568.0,9%,519,23.61,22.0,2394.0,1482.0,910.0,4808.0,1624.0,12.0,244.0,2927.0,4808.0,850.0,-305.0,-546.0,-1.0,608.0,18.0,239.0,70.0,188.0,70.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Greenply Industries,GREENPLY,Consumer Durables,Mar 2020,1420,1265,156,11%,-48,21,26,61.0,22%,47,3.85,12.0,366.0,279.0,305.0,962.0,314.0,5.0,24.0,619.0,962.0,58.0,-58.0,-19.0,-20.0,2.0,92.0,77.0,101.0,68.0,15.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
GSPL,GSPL,Oil & Gas,Mar 2020,12244,9027,3217,26%,108,369,518,2438.0,7%,2279,30.65,564.0,4320.0,3629.0,4837.0,13350.0,9256.0,807.0,1023.0,2264.0,13350.0,2771.0,-806.0,-1494.0,471.0,2068.0,20.0,,,20.0,-61.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Indraprastha Gas,IGL,Oil & Gas,Mar 2020,6485,4949,1536,24%,293,20,252,1556.0,20%,1249,8.92,140.0,5218.0,96.0,2094.0,7548.0,3557.0,777.0,630.0,2584.0,7548.0,1361.0,-521.0,-243.0,597.0,398.0,10.0,5.0,22.0,-7.0,-83.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
DLF,DLF,Real Estate,Mar 2020,6083,4937,1146,19%,1135,1427,200,653.0,326%,-590,-2.36,495.0,33952.0,8103.0,13341.0,55890.0,5187.0,89.0,18566.0,32049.0,55890.0,356.0,6508.0,-9522.0,-2658.0,217.0,43.0,,,43.0,612.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Godrej Agrovet,GODREJAGRO,Agriculture,Mar 2020,6964,6475,489,7%,49,42,148,349.0,14%,301,15.94,192.0,1646.0,651.0,2183.0,4672.0,2178.0,153.0,129.0,2211.0,4672.0,240.0,-255.0,36.0,21.0,-18.0,45.0,60.0,87.0,17.0,-7.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
MRPL,MRPL,Oil & Gas,Mar 2020,50230,53368,-3137,-6%,70,1251,1086,-5404.0,-25%,-4043,-19.14,1753.0,4607.0,18482.0,5734.0,30576.0,20431.0,1746.0,29.0,8369.0,30576.0,289.0,-1449.0,1157.0,-3.0,-1204.0,7.0,30.0,24.0,14.0,-33.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
NCC Ltd.,NCC,Ports & Infrastructure,Mar 2020,8901,7824,1077,12%,63,554,199,387.0,19%,314,5.52,122.0,4784.0,2181.0,6724.0,13812.0,1413.0,15.0,448.0,11935.0,13812.0,931.0,11.0,-1047.0,-105.0,879.0,112.0,166.0,491.0,-213.0,90.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Cyient,CYIENT,Information Technology,Mar 2020,4427,3881,546,12%,158,49,188,468.0,27%,341,31.14,55.0,2506.0,711.0,870.0,4142.0,1305.0,146.0,41.0,2650.0,4142.0,582.0,-146.0,-446.0,-10.0,369.0,60.0,211.0,347.0,-76.0,35.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Alembic Pharma,APLLTD,Pharmaceuticals,Mar 2020,4606,3383,1223,27%,-39,27,157,1000.0,20%,801,43.97,38.0,3182.0,1747.0,1022.0,5989.0,1552.0,1846.0,18.0,2573.0,5989.0,449.0,-731.0,155.0,-127.0,-285.0,69.0,417.0,220.0,266.0,50.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Ajanta Pharma,AJANTPHARM,Pharmaceuticals,Mar 2020,2588,1904,683,26%,88,12,96,664.0,30%,468,35.73,18.0,2581.0,75.0,619.0,3293.0,1472.0,132.0,79.0,1610.0,3293.0,457.0,-224.0,-129.0,104.0,228.0,109.0,276.0,202.0,184.0,108.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Sobha,SOBHA,Real Estate,Mar 2020,3754,2639,1115,30%,72,682,72,433.0,35%,282,26.32,95.0,2336.0,3131.0,5448.0,11010.0,919.0,0.0,114.0,9976.0,11010.0,294.0,-307.0,-84.0,-97.0,-7.0,35.0,,,35.0,101.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Wipro,WIPRO,Information Technology,Mar 2020,61138,48795,12342,20%,2728,733,2086,12252.0,20%,9772,8.51,1143.0,54179.0,9724.0,15954.0,81000.0,22062.0,1881.0,20032.0,37024.0,81000.0,10064.0,3593.0,-15100.0,-1442.0,7842.0,62.0,,,62.0,-18.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Zydus Lifesciences,ZYDUSLIFE,Pharmaceuticals,Mar 2020,14253,11455,2798,20%,-264,342,696,1495.0,21%,1204,11.49,102.0,10273.0,7986.0,5115.0,23477.0,12230.0,742.0,765.0,9740.0,23477.0,2505.0,-1012.0,-1094.0,399.0,1617.0,94.0,207.0,151.0,150.0,-19.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Sharda Cropchem,SHARDACROP,Agriculture,Mar 2020,2003,1653,350,17%,-12,16,137,185.0,11%,165,18.25,90.0,1313.0,0.0,940.0,2343.0,416.0,161.0,116.0,1650.0,2343.0,146.0,-59.0,-60.0,27.0,-30.0,180.0,100.0,180.0,100.0,101.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Natco Pharma,NATCOPHARM,Pharmaceuticals,Mar 2020,1915,1332,583,30%,107,22,100,569.0,19%,458,25.31,36.0,3737.0,316.0,498.0,4588.0,1584.0,518.0,112.0,2373.0,4588.0,417.0,-175.0,-251.0,-8.0,81.0,105.0,534.0,244.0,395.0,295.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Supreme Industries,SUPREMEIND,Consumer Durables,Mar 2020,5512,4676,835,15%,32,20,206,641.0,27%,467,36.8,25.0,2236.0,441.0,917.0,3619.0,1608.0,93.0,207.0,1711.0,3619.0,539.0,-196.0,-156.0,188.0,300.0,21.0,94.0,58.0,57.0,14.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Vedanta,VEDL,Metals & Mining,Mar 2020,84447,63704,20743,25%,-14932,4977,9093,-8259.0,-43%,-4744,-17.93,372.0,54263.0,59187.0,66915.0,180737.0,88904.0,18585.0,24753.0,48495.0,180737.0,19300.0,-5925.0,-15547.0,-2172.0,11631.0,12.0,184.0,275.0,-80.0,-186.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Alkem Laboratories,ALKEM,Pharmaceuticals,Mar 2020,8344,6868,1476,18%,102,65,253,1260.0,9%,1149,94.26,24.0,6137.0,1616.0,2169.0,9946.0,2908.0,363.0,261.0,6413.0,9946.0,585.0,-737.0,79.0,-73.0,237.0,72.0,198.0,104.0,167.0,44.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
eClerx Services,ECLERX,Information Technology,Mar 2020,1438,1111,326,23%,45,20,71,281.0,26%,209,18.83,36.0,1270.0,157.0,260.0,1723.0,480.0,1.0,437.0,806.0,1723.0,333.0,24.0,-308.0,49.0,299.0,60.0,,,60.0,44.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
ONGC,ONGC,Oil & Gas,Mar 2020,396728,344623,52105,13%,982,7489,26635,18962.0,40%,11456,8.59,6290.0,198814.0,129473.0,173787.0,508364.0,243892.0,83832.0,56755.0,123884.0,508364.0,70593.0,-53159.0,-16726.0,708.0,28735.0,8.0,46.0,31.0,23.0,-54.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Indian Oil,IOC,Oil & Gas,Mar 2020,483763,467710,16053,3%,-7165,5792,10273,-7177.0,-74%,-1876,-0.63,9181.0,86217.0,129790.0,104773.0,329962.0,147022.0,32845.0,35571.0,114524.0,329962.0,7146.0,-29101.0,22456.0,502.0,-24277.0,10.0,59.0,24.0,45.0,-46.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Graphite India,GRAPHITE,Metals & Mining,Mar 2020,3094,3180,-86,-3%,174,18,51,19.0,-134%,45,2.3,39.0,4515.0,416.0,608.0,5578.0,637.0,35.0,2067.0,2839.0,5578.0,253.0,549.0,-839.0,-37.0,208.0,48.0,267.0,33.0,282.0,167.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Dr. Reddy’s,DRREDDY,Pharmaceuticals,Mar 2020,17517,15040,2477,14%,670,98,1163,1886.0,-7%,2026,24.38,83.0,15516.0,2210.0,5414.0,23223.0,6850.0,1535.0,2678.0,12160.0,23223.0,2984.0,-495.0,-2516.0,-27.0,2412.0,105.0,230.0,100.0,235.0,59.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Macrotech Developers,LODHA,Real Estate,Mar 2020,12443,10526,1917,15%,119,740,292,1003.0,26%,742,9.19,396.0,4156.0,18423.0,17717.0,40693.0,2021.0,6.0,1553.0,37112.0,40693.0,3772.0,182.0,-4188.0,-234.0,3743.0,23.0,,,23.0,-31.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Astec LifeSciences,ASTEC,Agriculture,Mar 2020,523,437,85,16%,12,13,23,61.0,23%,48,21.21,20.0,227.0,99.0,226.0,572.0,194.0,24.0,0.0,354.0,572.0,168.0,-74.0,-95.0,0.0,123.0,112.0,131.0,218.0,25.0,8.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Sunteck Realty,SUNTECK,Real Estate,Mar 2020,560,392,167,30%,20,81,4,103.0,27%,75,5.06,14.0,2735.0,921.0,503.0,4173.0,55.0,0.0,271.0,3846.0,4173.0,-78.0,-18.0,88.0,-8.0,-94.0,241.0,,,241.0,1720.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Tech Mahindra,TECHM,Information Technology,Mar 2020,36868,31365,5503,15%,1192,192,1446,5058.0,23%,3897,41.76,436.0,21377.0,3670.0,11834.0,37318.0,8872.0,50.0,5848.0,22548.0,37318.0,4358.0,1081.0,-4466.0,974.0,3529.0,75.0,,,75.0,35.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
TCS,TCS,Information Technology,Mar 2020,156949,114840,42109,27%,4592,924,3529,42248.0,23%,32447,86.19,375.0,83751.0,8174.0,27827.0,120127.0,20928.0,906.0,26356.0,71937.0,120127.0,32369.0,8968.0,-39915.0,1422.0,29281.0,71.0,,,71.0,64.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Glenmark Pharma,GLENMARK,Pharmaceuticals,Mar 2020,10641,8942,1699,16%,191,377,417,1096.0,29%,776,27.5,28.0,6042.0,4869.0,3729.0,14668.0,5029.0,1222.0,25.0,8393.0,14668.0,1392.0,-774.0,-445.0,174.0,616.0,83.0,211.0,210.0,84.0,54.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
JB Chemicals,JBCHEPHARM,Pharmaceuticals,Mar 2020,1775,1397,378,21%,41,3,66,349.0,22%,272,17.6,15.0,1420.0,29.0,349.0,1814.0,651.0,16.0,403.0,743.0,1814.0,276.0,24.0,-306.0,-6.0,205.0,71.0,159.0,97.0,133.0,81.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Jindal Stainless,JSL,Metals & Mining,Mar 2020,12951,11819,1132,9%,44,586,425,165.0,56%,73,1.46,97.0,2620.0,3903.0,4057.0,10678.0,6181.0,15.0,449.0,4033.0,10678.0,1180.0,-186.0,-991.0,4.0,1006.0,20.0,117.0,113.0,23.0,-24.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Coforge,COFORGE,Information Technology,Mar 2020,4184,3459,725,17%,59,16,173,595.0,21%,468,14.21,62.0,2334.0,35.0,968.0,3400.0,1079.0,0.0,14.0,2307.0,3400.0,297.0,136.0,-133.0,300.0,227.0,75.0,,,75.0,38.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Mahindra Lifespace,MAHLIFE,Real Estate,Mar 2020,611,692,-81,-13%,-100,8,8,-196.0,-1%,-195,-9.13,51.0,1650.0,237.0,603.0,2542.0,98.0,12.0,548.0,1883.0,2542.0,-63.0,88.0,-67.0,-42.0,-66.0,68.0,,,68.0,569.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
HG Infra Engineering,HGINFRA,Ports & Infrastructure,Mar 2020,2217,1864,353,16%,14,60,76,231.0,28%,167,25.57,65.0,761.0,520.0,869.0,2216.0,483.0,11.0,0.0,1722.0,2216.0,36.0,-85.0,71.0,21.0,-58.0,113.0,43.0,222.0,-66.0,113.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
